date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1744579800,Apr 13 2025 - 9:30pm,Mexico,Liga TDP Group 2,CeFor Chiapas,Dragones de Oaxaca,1.17,2.54,1.17,2.54,3.21,59,92,81,61,40,25,26,21,25,8,7.75,-0.71,32,23,14,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.60,3.80,1.67,N/A,1.48,2.25,N/A,N/A,N/A,1.60,1.43,0.00,0.00,N/A,N/A,2.30,1.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,19,40,61,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,N/A,N/A,N/A,1.17,2.54,25,/mexico/dragones-fc-de-oaxaca-vs-centro-de-formacion-chiapas-futbol-h2h-stats
1744579800,Apr 13 2025 - 9:30pm,El Salvador,Salvadoran Primera División,Alianza,Águila,1.76,1.95,1.72,1.97,2.34,43,88,70,43,22,8,72,31,74,30,10.97,-0.05,61,50,39,complete,0,1,5,7,-1,-1,-1,-1,-1,-1,5,14,3,4,2,10,50,50,2.25,2.87,3.10,1.45,2.35,4.25,9.70,1.90,1.87,1.30,1.56,0.87,1.59,6.30,2.80,1.52,1.15,1.02,1.45,1.40,1.57,N/A,N/A,N/A,N/A,1.90,N/A,N/A,N/A,N/A,1.90,N/A,N/A,12,31,57,79,92,1.53,3.30,8.90,2.45,1.24,1.03,1.36,2.40,5.75,2.88,1.48,1.10,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,1.76,1.95,18,/el-salvador/cd-aguila-vs-alianza-fc-h2h-stats#7805747
1744579800,Apr 13 2025 - 9:30pm,Brazil,Paranaense 2,PSTC,Foz do Iguaçu,0.00,0.00,1.00,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,1,/brazil/auritania-foz-do-iguacu-fc-vs-parana-soccer-technical-center-h2h-stats#7838246
1744579800,Apr 13 2025 - 9:30pm,Haiti,Ligue Haïtienne,Violette AC,Racing Club Haitien,1.00,0.00,1.00,0.00,2.00,50,100,100,0,0,0,0,0,0,0,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,100,100,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.67,0.00,0,/haiti/violette-ac-vs-racing-club-haitien-h2h-stats
1744581360,Apr 13 2025 - 9:56pm,Esports,Esoccer Battle,Spain (vivienne),France (GanGsta_Panda),0.00,2.33,0.50,1.75,4.47,100,100,100,100,67,50,100,100,17,0,2.33,0.00,0,0,0,complete,5,0,1,1,-1,-1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,2.88,5.10,1.68,N/A,N/A,N/A,1.85,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,34,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,0.57,1.43,0,/esports/spain-vivienne-vs-france-gangsta_panda-h2h-stats#7879505
1744581600,Apr 13 2025 - 10:00pm,Mexico,Liga Premier Serie A,Real Apodaca,Durango,2.38,1.47,2.21,1.56,2.77,55,84,65,55,48,19,58,29,65,43,13.02,4.00,81,67,47,complete,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.10,3.25,2.15,1.22,1.77,3.00,5.00,1.62,2.20,1.68,1.51,0.00,0.00,9.85,3.55,1.93,1.34,1.13,1.25,1.30,1.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,35,46,53,81,1.33,2.58,6.20,3.00,1.42,1.11,1.22,1.97,4.00,3.80,1.73,1.20,N/A,N/A,N/A,N/A,26,N/A,N/A,N/A,1.85,1.77,14,/mexico/cf-alacranes-de-durango-vs-real-apodaca-fc-h2h-stats#7666693
1744581600,Apr 13 2025 - 10:00pm,Mexico,Liga TDP Group 16,Irritilas,Campeche NG,2.17,0.46,2.17,0.46,3.21,51,94,79,63,31,21,33,15,34,19,10.93,-0.04,68,56,47,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.12,7.00,19.00,N/A,1.40,N/A,N/A,N/A,N/A,1.08,1.61,0.00,0.00,N/A,N/A,2.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,21,38,69,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,2.17,0.46,25,/mexico/campeche-fc-nueva-generacion-vs-irritilas-fc-h2h-stats
1744581600,Apr 13 2025 - 10:00pm,Mexico,Liga TDP Group 14,Real Ánimas,Atlético Cocula,1.35,2.58,1.35,2.58,3.61,51,94,83,64,47,23,2,0,2,0,3.00,-1.88,50,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,1.81,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,17,37,53,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.35,2.58,25,/mexico/club-atletico-cocula-tornados-tlaquepaque-vs-real-animas-de-sayula-cf-h2h-stats
1744581600,Apr 13 2025 - 10:00pm,Mexico,Liga MX Femenil,Juárez W,Atlético San Luis W,2.12,0.44,2.17,0.41,2.44,33,91,61,46,31,10,58,28,58,25,9.51,4.67,59,49,36,complete,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.24,5.70,10.50,N/A,1.43,2.15,N/A,N/A,N/A,1.02,1.07,0.00,0.00,N/A,N/A,2.54,1.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,39,55,70,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19,N/A,N/A,N/A,1.71,0.81,16,/mexico/atletico-san-luis-women-vs-fc-juarez-women-h2h-stats#7806616
1744581600,Apr 13 2025 - 10:00pm,Venezuela,Primera División,Zamora,Caracas,0.60,1.30,0.82,1.18,1.70,30,80,45,25,10,5,60,20,45,20,7.40,7.20,50,35,30,complete,3,0,3,2,-1,-1,4,3,0,0,18,17,9,4,9,13,50,50,2.60,2.79,2.73,1.47,2.50,5.00,9.00,2.07,1.75,1.29,1.48,1.93,1.56,6.00,2.50,1.50,1.17,1.04,1.38,1.33,1.40,N/A,N/A,1.57,1.97,3.07,3.42,4.75,2.31,1.78,1.46,1.25,1.13,20,55,75,90,95,1.57,3.50,9.00,2.26,1.22,1.00,1.32,2.70,6.45,2.99,1.41,1.05,N/A,N/A,N/A,N/A,25,2.04,6.40,2.18,0.60,1.30,11,/venezuela/caracas-fc-vs-zamora-futbol-club-h2h-stats#7811832
