date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1752359400,Jul 12 2025 - 10:30pm,Brazil,Serie D,Imperatriz,Maranhão,1.75,0.80,1.75,0.80,1.53,43,78,43,23,10,0,78,33,33,10,7.50,0.00,50,38,38,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.54,3.05,2.64,1.51,2.56,4.75,10.00,2.16,1.59,1.28,1.70,0.00,0.00,6.90,2.30,1.50,1.08,1.01,1.32,1.37,1.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,58,78,90,100,1.55,3.76,10.00,2.38,1.19,1.02,1.38,2.70,6.60,2.80,1.37,1.09,N/A,N/A,N/A,N/A,33,N/A,N/A,N/A,1.50,1.00,0,/brazil/maranhao-ac-vs-sd-imperatriz-h2h-stats
1752359400,Jul 12 2025 - 10:30pm,Brazil,Serie C,Tombense,ABC,1.60,1.33,1.60,1.33,1.69,45,74,65,10,10,10,49,10,74,17,10.47,2.50,54,54,37,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.20,2.70,3.20,1.58,3.00,6.00,13.00,2.25,1.59,1.49,1.54,0.00,0.00,5.35,2.15,1.36,1.08,1.03,1.40,1.35,1.57,N/A,N/A,1.19,1.41,2.01,2.16,2.84,3.71,2.58,1.93,1.56,1.34,27,35,90,90,90,1.57,3.90,13.00,2.25,1.22,1.03,1.41,2.94,8.00,2.61,1.33,1.06,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,1.00,1.00,0,/brazil/abc-fc-vs-tombense-fc-h2h-stats
1752359400,Jul 12 2025 - 10:30pm,Brazil,Serie C,Floresta,Ypiranga Erechim,2.00,1.40,2.00,1.40,1.50,10,80,40,30,0,0,40,10,50,20,7.85,4.00,55,55,20,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.34,2.74,3.26,1.70,2.90,6.55,13.50,2.30,1.55,1.65,1.10,0.00,0.00,5.25,2.19,1.36,1.10,1.01,1.40,1.37,1.50,N/A,N/A,1.30,1.53,1.80,2.33,3.00,3.15,2.89,2.00,1.52,1.43,20,60,70,100,100,1.66,3.80,11.50,2.13,1.20,1.02,1.48,3.00,8.50,2.50,1.33,1.06,N/A,N/A,N/A,N/A,0,1.93,6.40,2.08,1.45,1.82,0,/brazil/ypiranga-erechim-vs-floresta-ec-h2h-stats
1752359400,Jul 12 2025 - 10:30pm,Guyana,GFF Elite League,Santos FC Guyana,Ann's Grove,1.33,0.80,1.33,0.80,4.04,37,100,100,74,30,30,0,0,0,0,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,27,70,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.44,0.63,0,/guyana/anns-grove-fc-vs-santos-fc-guyana-h2h-stats
1752359400,Jul 12 2025 - 10:30pm,Canada,PLSQ,Ottawa South United,Royal Beauport,1.00,0.50,1.00,0.50,3.88,75,100,100,50,50,38,0,0,0,0,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,50,50,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.67,1.40,0,/canada/royal-select-de-beauport-vs-ottawa-south-united-h2h-stats
1752359400,Jul 12 2025 - 10:30pm,USA,USL League Two,Morris Elite,Hudson Valley Hammers,0.80,2.00,0.80,2.00,3.50,80,90,90,80,50,30,30,20,30,30,10.42,0.00,84,67,67,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.96,4.09,1.60,N/A,1.57,2.30,N/A,N/A,N/A,1.90,1.54,0.00,0.00,N/A,N/A,2.35,1.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,10,20,50,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,1.45,2.09,0,/usa/morris-elite-sc-vs-hudson-valley-hammers-h2h-stats
1752359400,Jul 12 2025 - 10:30pm,USA,USL League Two,Northern Indiana,Union Macomb,1.40,1.80,1.40,1.80,2.80,50,90,80,60,20,20,40,20,40,30,9.50,0.00,59,59,59,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.00,3.30,3.45,1.22,1.72,2.74,5.25,1.60,2.10,1.46,1.34,0.00,0.00,8.80,3.60,1.93,1.35,1.11,1.29,1.26,1.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,20,40,80,80,1.35,2.45,6.20,2.80,1.45,1.09,1.22,1.95,4.10,3.80,1.75,1.22,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,1.45,1.18,0,/usa/union-fc-macomb-vs-northern-indiana-fc-h2h-stats
1752359400,Jul 12 2025 - 10:30pm,Canada,League1 BC,Coquitlam,Harbourside,1.29,0.33,1.29,0.33,3.65,69,92,85,70,63,24,0,0,0,0,0.00,0.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,16,30,37,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.00,0.46,0,/canada/harbourside-fc-vs-coquitlam-metro-ford-sc-evolution-fc-h2h-stats
1752361200,Jul 12 2025 - 11:00pm,USA,USL Championship,Detroit City FC,Hartford Athletic,1.60,0.20,1.60,0.20,3.10,40,90,80,40,40,20,70,50,80,30,8.00,4.70,50,30,10,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.84,3.20,3.75,1.30,2.07,3.20,7.05,1.80,1.90,1.35,0.92,0.00,0.00,8.55,3.25,1.75,1.22,1.08,1.33,1.23,1.85,N/A,N/A,1.40,1.74,2.17,2.92,4.22,2.62,1.98,1.61,1.31,1.14,10,20,60,60,80,1.43,2.93,8.00,2.82,1.36,1.08,1.29,2.25,5.25,3.40,1.57,1.15,N/A,N/A,N/A,N/A,40,1.56,7.35,3.22,1.33,0.75,0,/usa/hartford-athletic-vs-detroit-city-fc-h2h-stats
1752361200,Jul 12 2025 - 11:00pm,USA,USL Championship,Indy Eleven,Rhode Island,1.13,1.25,1.13,1.25,3.13,44,100,82,63,38,13,94,69,63,32,8.51,4.00,69,44,26,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.36,3.20,2.84,1.24,1.94,3.40,5.50,1.73,2.11,1.47,1.43,0.00,0.00,10.00,3.40,1.88,1.30,1.11,1.33,1.26,1.53,N/A,N/A,1.29,1.56,2.24,2.50,3.43,3.08,2.24,1.76,1.44,1.23,0,19,38,63,88,1.36,2.81,7.40,3.01,1.43,1.06,1.25,2.10,4.30,3.60,1.65,1.17,N/A,N/A,N/A,N/A,32,1.93,7.07,2.40,1.21,1.07,0,/usa/indy-eleven-vs-rhode-island-fc-h2h-stats
